Genome Assembly	chr1A	chr1B	chr1D	chr2A	chr2B	chr2D	chr3A	chr3B	chr3D	chr4A	chr4B	chr4D	chr5A	chr5B	chr5D	chr6A	chr6B	chr6D	chr7A	chr7B	chr7D
Chinese_Spring_(dataset_1)a	211.5	241.7	169.7	340.9	348.9	266.5	318.8	348.7	240.5	266.1	318.8	185.2	253	200.8	187.6	287.1	324.7	215.4	361.9	309.1	338.2
Chinese_Spring_(dataset_2)a	211.4	241.6	171.4	326.9	347.5	269.7	319.4	348.7	240.5	264.8	318.8	185.4	253	200.7	187.6	284.4	326.2	215.5	361.9	309.1	338.2
ArinaLrFor	220.4	236.9	168.6	339.7	369.3	273.7	327.7	396.8	246.5	292.3	270.4	207.8	296.9	193.5	192.5	291.8	331.7	218.2	374.7	481.9	339.5
Jagger	213.7	248.7	167.4	353.4	354.3	289.8	303	368.1	242.9	312.9	317.7	206.7	245.1	210.5	192	282.8	326.1	200.7	366.7	311.7	338.7
Julius	212.6	235.7	169.7	343.4	355.7	277.5	332.1	363.5	245.6	296.6	329.5	209.6	247.1	221.3	193.3	291	338.5	221.8	367.4	308.9	341.3
LongReach_Lancer	211.2	251.8	168.4	338.9	294.6	265.6	319.5	360.2	244.1	287.8	265.1	208	240.2	215.1	188.5	277.2	310.4	207.9	360.2	309.7	337.7
CDC_Landmark	211.4	263.3	172	343.6	359.7	274.1	327	363.3	243.7	293.4	293.4	205.8	241.6	227.9	190.1	284.7	363.5	223.5	362.5	308.9	340.8
Mace	213	235.4	169.2	342.9	349.6	270.2	319.4	366.1	241.6	291.3	335	204.9	243.8	201.2	188.2	287.1	323.7	218.1	360.7	304	338.1
SY_Mattis	219.3	244.1	167.7	344.2	355.4	271.4	327.7	353.1	238.7	292.3	312.9	206.9	243.2	162.9	188.9	284.2	327.9	222.8	361.6	494.6	335.8
Norin 61	213.4	239.3	170.6	337.9	360.1	270.9	331.5	357.6	242.9	313.1	305.7	206.6	255.9	207.7	186.8	287.4	327.1	221.1	362.4	308.8	339
CDC_Stanley	212.3	251.8	171.8	347.9	355.5	275.3	332.5	367.8	252	297	284.1	207.5	246.8	215.6	191	292.6	328.3	224.9	365	311	341.4

